Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
Q92947,0.08447488584474885,0.0730593607305936,0.0365296803652968,0.03881278538812785,0.02054794520547945,0.04337899543378995,0.0639269406392694,0.09817351598173515,0.0228310502283105,0.0502283105022831,0.1187214611872146,0.0365296803652968,0.03424657534246575,0.02511415525114155,0.0365296803652968,0.07534246575342465,0.0502283105022831,0.01141552511415525,0.02968036529680365,0.0502283105022831,1,7,2,1,3,2,1,4,9,4,4,1,2,1,6,5,3,3,2,3,0,3,6,2,1,2,1,0,3,4,3,0,0,4,0,1,1,2,1,0,1,0,1,0,0,1,0,0,0,5,5,6,6,5,2,0,6,4,3,2,2,5,0,2,4,3,1,1,3,0,0,2,5,1,0,1,0,3,2,1,0,1,1,0,3,2,4,2,2,1,0,4,1,0,0,0,0,0,5,1,9,3,3,1,0,6,4,2,2,2,2,0,4,2,2,3,3,0,0,4,2,3,0,1,0,0,3,2,2,2,0,1,0,2,1,2,0,2,1,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,4,2,1,0,1,2,3,3,1,1,2,4,1,0,0,1,0,0,2,1,0,3,1,0,2,1,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,7,2,4,0,0,1,4,2,4,0,1,0,1,4,1,1,0,0,1,0,1,2,1,0,1,1,0,0,1,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,5,1,0,1,1,2,0,3,5,3,1,0,0,0,0,0,1,1,1,1,1,2,2,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043478260869565216,-1.0183066361556063,-1.5148741418764302,-1.5423340961098397,-2.185354691075515,-0.8787185354691075,-1.1327231121281465,-1.1350114416475972,-1.2677345537757436,-1.2700228832951945,-1.0823798627002288,-1.2860411899313502,-0.5812356979405034,-1.608695652173913,-1.77116704805492,-0.7528604118993135,-0.6475972540045767,-2.2379862700228834,-1.5720823798627002,-1.0160183066361557
Q92973,0.060133630289532294,0.0400890868596882,0.0467706013363029,0.07238307349665925,0.028953229398663696,0.05679287305122494,0.06904231625835189,0.0378619153674833,0.022271714922048998,0.07349665924276169,0.12806236080178174,0.05011135857461024,0.030066815144766147,0.03897550111358575,0.0556792873051225,0.052338530066815145,0.04120267260579064,0.014476614699331848,0.024498886414253896,0.05679287305122494,3,7,7,6,0,4,0,15,6,9,5,2,2,1,3,7,1,3,3,4,2,3,2,4,6,1,3,0,1,3,2,0,2,0,1,3,5,3,2,1,2,2,1,0,0,0,1,0,0,10,8,10,4,3,7,0,5,30,14,15,7,13,0,6,13,9,7,5,6,1,5,9,5,10,3,5,0,2,8,1,5,2,3,1,6,6,4,2,3,5,2,2,1,0,1,0,2,0,4,8,0,5,1,0,0,7,10,7,4,1,5,2,0,4,0,2,1,4,2,0,5,2,3,3,2,1,3,4,7,4,0,1,0,3,10,1,0,4,4,0,3,2,0,2,1,0,0,3,4,4,1,2,0,2,5,12,7,5,3,3,3,5,0,1,1,5,4,2,5,11,2,2,3,2,1,2,4,0,2,1,1,0,1,5,4,2,1,3,0,1,0,1,0,0,0,0,2,3,0,2,0,3,0,2,13,5,3,3,2,0,3,6,0,1,1,0,0,1,7,2,3,0,1,0,1,2,0,2,0,1,0,0,2,2,2,1,2,0,1,2,0,0,0,0,0,2,10,1,0,2,1,0,7,11,4,5,3,3,0,1,4,2,1,4,4,1,2,2,2,2,0,3,0,1,7,1,0,0,3,1,3,4,2,3,3,16,1,1,2,2,0,0,0,0,2,0,2,1,1,3,0,1,2,1,0,3,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.3756967670011148,-0.9052396878483835,-0.7201783723522854,-0.8160535117056856,-1.0668896321070234,-0.1616499442586399,-0.4080267558528428,-1.8695652173913044,-0.8907469342251951,-0.21181716833890746,0.12263099219620958,-0.5942028985507246,-0.3500557413600892,-0.8684503901895206,-1.2374581939799332,-0.16387959866220736,-0.49498327759197325,-2.3890746934225193,-1.1672240802675586,-0.27759197324414714
Q93084,0.1001001001001001,0.06006006006006006,0.03003003003003003,0.04504504504504504,0.025025025025025027,0.031031031031031032,0.07307307307307308,0.06606606606606606,0.014014014014014014,0.056056056056056056,0.1011011011011011,0.037037037037037035,0.028028028028028028,0.036036036036036036,0.05005005005005005,0.06106106106106106,0.06306306306306306,0.013013013013013013,0.018018018018018018,0.0920920920920921,27,13,7,4,10,8,2,17,15,8,6,4,9,4,12,13,10,3,6,7,0,5,3,4,1,4,1,1,8,5,1,1,2,3,0,10,6,4,2,2,5,1,1,2,0,0,1,0,0,11,14,17,7,3,13,1,13,17,10,10,4,4,2,8,8,3,4,10,2,1,7,8,4,1,5,6,0,3,3,4,1,2,1,0,8,6,5,4,3,3,0,2,0,3,0,2,0,0,11,11,12,4,2,1,0,9,10,6,7,0,7,1,5,7,7,1,2,2,2,1,4,2,3,2,1,1,3,8,2,1,2,4,2,5,6,3,1,1,3,0,1,1,1,0,3,1,0,7,7,2,1,0,0,1,8,5,2,3,1,1,0,3,2,4,2,2,1,1,2,0,2,0,2,2,0,3,3,3,1,2,1,0,4,2,1,0,2,2,0,1,1,1,0,0,0,0,3,8,7,0,1,4,0,7,7,4,2,3,3,0,5,6,1,1,1,1,1,2,1,1,1,0,1,0,1,2,2,1,0,3,1,3,2,4,2,2,0,0,2,1,0,0,0,0,0,8,9,5,2,4,4,0,8,6,5,3,2,5,0,6,3,0,3,1,5,2,1,4,2,2,0,0,1,3,3,3,0,2,0,0,2,6,4,1,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,0,4,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.35671342685370744,-1.2414829659318638,-1.0501002004008015,-1.3977955911823647,-1.5210420841683367,-0.9939879759519038,-1.0831663326653307,-1.2705410821643286,-1.408817635270541,-0.3216432865731463,-0.5080160320641283,-1.0260521042084167,-0.47995991983967934,-0.8496993987975952,-1.6432865731462927,-0.5230460921843687,-0.41583166332665333,-2.038076152304609,-1.1843687374749499,-0.3186372745490982
Q969V3,0.108348134991119,0.06216696269982238,0.02486678507992895,0.0497335701598579,0.0053285968028419185,0.056838365896980464,0.0586145648312611,0.047957371225577264,0.03019538188277087,0.028419182948490232,0.1261101243339254,0.037300177619893425,0.03019538188277087,0.04262877442273535,0.03907637655417407,0.06394316163410302,0.055062166962699825,0.008880994671403197,0.03374777975133215,0.0905861456483126,9,11,11,4,2,3,0,7,11,6,2,2,2,0,11,3,3,2,2,4,0,1,2,6,2,2,1,0,3,3,4,1,0,1,0,6,1,3,1,3,3,0,0,0,0,0,1,0,0,10,8,2,2,2,7,1,9,10,4,3,6,2,1,4,5,5,1,2,2,0,2,3,4,4,2,5,0,5,0,4,1,2,1,0,0,5,2,1,2,1,0,0,1,1,0,0,0,0,5,5,8,6,4,1,0,7,5,4,7,3,2,0,2,4,1,0,2,2,0,2,3,0,1,3,4,0,3,1,4,1,1,0,0,2,6,2,0,1,0,0,0,0,0,0,0,0,0,6,1,3,1,0,1,0,4,1,2,2,2,1,0,3,3,0,4,3,2,0,2,2,2,1,1,1,0,2,2,3,0,1,0,0,0,3,5,3,0,1,0,0,0,0,0,0,0,0,3,2,0,1,2,5,0,2,4,2,2,0,0,0,5,8,1,2,1,1,0,3,0,2,0,0,0,0,0,1,3,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,7,3,1,0,2,0,0,2,4,2,4,0,4,1,3,5,1,4,0,0,0,2,2,0,1,0,1,0,0,3,0,1,1,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2188612099644128,-0.8665480427046264,-0.7526690391459074,-0.9448398576512456,-1.9288256227758007,-0.49110320284697506,-0.5925266903914591,-1.1405693950177935,-0.9911032028469751,-0.7740213523131673,-0.7953736654804271,-0.6316725978647687,-0.6263345195729537,-1.0160142348754448,-1.2259786476868328,-0.16370106761565836,-0.2597864768683274,-2.03914590747331,-0.8274021352313167,-0.5907473309608541
Q96A33,0.051759834368530024,0.049689440993788817,0.045548654244306416,0.08695652173913043,0.010351966873706004,0.049689440993788817,0.11594202898550725,0.045548654244306416,0.016563146997929608,0.039337474120082816,0.08281573498964803,0.08488612836438923,0.045548654244306416,0.043478260869565216,0.031055900621118012,0.053830227743271224,0.053830227743271224,0.006211180124223602,0.026915113871635612,0.060041407867494824,1,2,1,0,0,2,1,6,3,3,0,2,2,0,3,2,3,2,3,3,1,1,2,1,0,0,1,0,3,2,1,3,2,1,0,2,2,3,3,2,5,1,0,1,0,0,0,0,0,2,2,5,2,3,2,0,6,3,3,3,2,4,0,2,3,3,2,1,2,0,6,1,2,0,1,3,0,3,5,2,0,3,4,0,3,1,2,3,2,4,0,0,0,0,0,0,0,0,1,4,3,0,2,7,0,1,7,1,4,3,2,0,3,1,4,1,1,4,0,2,2,3,1,2,0,0,2,1,2,0,1,0,0,3,5,5,1,2,3,0,0,1,0,1,0,0,0,1,2,3,3,0,2,0,1,2,2,3,3,0,0,1,7,1,2,0,3,0,0,2,0,0,0,1,0,2,0,2,2,2,2,0,0,0,2,2,1,3,0,0,0,0,0,0,0,0,1,3,2,0,3,2,0,2,3,1,3,2,0,0,1,0,2,3,1,2,0,1,3,2,0,5,1,0,1,2,3,2,1,2,0,3,3,1,0,1,2,0,0,0,0,0,0,0,0,1,3,3,0,3,3,0,0,3,2,0,5,6,0,6,5,1,0,0,5,1,1,0,6,2,2,2,0,0,1,0,5,2,1,0,2,5,5,4,1,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.45228215767634855,-0.578838174273859,-0.6265560165975104,-0.6327800829875518,-1.9024896265560165,-0.11618257261410789,-0.08713692946058091,-1.4937759336099585,-0.8921161825726142,-1.112033195020747,-1.0850622406639003,-0.17634854771784234,-0.5622406639004149,-1.3983402489626555,-1.070539419087137,-0.15975103734439833,-0.35269709543568467,-2.224066390041494,-1.1348547717842323,-0.941908713692946
Q96BR5,0.09956709956709957,0.030303030303030304,0.04329004329004329,0.08225108225108226,0.05627705627705628,0.05194805194805195,0.06493506493506493,0.09090909090909091,0.030303030303030304,0.012987012987012988,0.08225108225108226,0.09090909090909091,0.03463203463203463,0.03896103896103896,0.025974025974025976,0.03896103896103896,0.021645021645021644,0.004329004329004329,0.05194805194805195,0.047619047619047616,1,2,1,2,3,3,0,1,1,2,0,4,3,0,2,2,1,0,0,0,0,2,2,0,1,0,1,0,4,1,2,2,0,0,0,2,2,1,1,0,3,1,1,0,0,0,0,0,0,3,1,0,0,1,2,0,2,0,2,1,0,0,1,1,1,0,0,2,1,0,3,1,0,1,1,0,0,0,1,3,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,3,0,2,1,0,0,0,1,2,0,1,0,0,0,2,0,4,0,2,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,2,0,0,1,0,1,1,0,0,0,1,2,0,1,1,2,1,0,1,0,2,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,2,2,1,1,1,1,0,3,1,0,0,0,1,0,1,0,3,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,1,1,2,0,1,0,0,0,0,2,0,1,0,2,1,2,0,0,0,0,1,1,0,1,0,2,0,0,1,0,2,1,1,1,3,0,0,1,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11304347826086956,-0.8695652173913043,-0.7565217391304347,-1.1478260869565218,-1.7826086956521738,-0.3391304347826087,-0.4782608695652174,-1.3130434782608695,-0.6869565217391305,-1.4,-0.7043478260869566,-0.3347826086956522,-0.8956521739130435,-1.2782608695652173,-2.0695652173913044,-0.5826086956521739,-1.2434782608695651,-2.0608695652173914,-0.1956521739130435,-1.4086956521739131
Q96BY9,0.058997050147492625,0.04129793510324484,0.029498525073746312,0.05014749262536873,0.029498525073746312,0.035398230088495575,0.029498525073746312,0.13274336283185842,0.017699115044247787,0.02064896755162242,0.08849557522123894,0.04129793510324484,0.008849557522123894,0.04424778761061947,0.06784660766961652,0.10029498525073746,0.06784660766961652,0.02064896755162242,0.07964601769911504,0.035398230088495575,4,3,7,2,1,0,1,9,5,2,0,1,2,0,6,3,4,5,2,1,0,1,1,0,2,0,0,0,1,2,0,3,0,0,0,0,0,2,1,1,0,1,1,0,1,0,1,0,0,4,7,7,1,2,0,2,4,9,7,1,1,1,1,3,2,6,0,1,1,0,0,2,1,0,0,0,0,0,0,2,2,1,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,8,7,3,1,2,2,0,2,7,2,0,1,1,0,3,3,5,4,1,4,0,1,2,3,1,1,2,1,1,1,2,1,0,2,1,1,2,5,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,5,2,1,0,0,0,0,2,2,0,0,1,2,1,3,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,1,1,1,1,0,0,3,0,2,0,1,1,0,0,1,3,2,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,3,3,3,2,2,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.34615384615384615,-0.9467455621301775,-0.6094674556213018,-1.1035502958579881,-1.6242603550295858,-0.5207100591715976,-0.8431952662721893,-0.6272189349112426,-0.863905325443787,-1.5266272189349113,-1.331360946745562,-0.7662721893491125,-1.0029585798816567,-1.272189349112426,-0.9526627218934911,-0.04142011834319527,-0.3165680473372781,-1.757396449704142,-0.7307692307692307,-1.1597633136094674
Q96CK0,0.0959349593495935,0.06666666666666667,0.022764227642276424,0.04065040650406504,0.030894308943089432,0.02926829268292683,0.0991869918699187,0.08617886178861789,0.04227642276422764,0.024390243902439025,0.06666666666666667,0.06341463414634146,0.01951219512195122,0.01951219512195122,0.07154471544715447,0.07479674796747968,0.04390243902439024,0.00975609756097561,0.024390243902439025,0.06829268292682927,21,6,7,2,2,7,0,8,1,5,5,1,2,0,6,2,5,4,2,3,0,4,1,2,2,3,3,0,2,0,2,1,3,4,0,11,8,7,2,0,2,1,2,2,1,0,1,0,0,7,2,6,6,1,6,1,5,2,5,1,1,1,1,5,4,2,3,2,4,0,3,3,4,2,0,0,0,4,2,0,1,4,1,0,3,3,4,1,2,3,1,1,1,1,2,1,0,0,7,5,2,2,3,3,2,4,4,2,2,3,2,3,5,4,4,0,0,2,0,2,5,2,1,2,0,0,2,1,0,2,5,0,0,2,7,5,0,0,1,1,1,1,0,0,0,0,0,5,2,1,2,1,5,0,4,2,4,1,2,2,1,3,2,1,1,2,0,2,2,2,1,2,1,0,0,1,1,0,1,4,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,1,4,2,3,1,3,2,1,2,1,1,0,0,0,1,3,2,0,4,0,0,0,2,2,0,5,6,4,2,12,1,0,1,3,2,0,1,1,1,0,0,0,1,0,0,0,2,5,5,2,0,7,0,6,3,2,2,3,7,0,4,5,3,3,1,4,0,0,3,1,0,0,0,0,1,1,0,0,2,2,0,3,0,2,0,3,0,0,0,0,2,2,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,2,0,1,2,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0553745928338762,-0.5944625407166124,-1.480456026058632,-1.6563517915309447,-1.4022801302931596,-0.28827361563517917,-0.5146579804560261,-1.4153094462540716,-0.21498371335504887,-2.301302931596091,-1.8289902280130292,-0.5667752442996743,-1.739413680781759,-2.257328990228013,-0.8485342019543974,-0.13355048859934854,-0.9039087947882736,-3.003257328990228,-1.8566775244299674,-1.8811074918566775
Q96CS3,0.0449438202247191,0.09662921348314607,0.038202247191011236,0.058426966292134834,0.01348314606741573,0.07191011235955057,0.10561797752808989,0.029213483146067417,0.02247191011235955,0.04269662921348315,0.10337078651685393,0.038202247191011236,0.020224719101123594,0.051685393258426963,0.06741573033707865,0.05393258426966292,0.04719101123595506,0.008988764044943821,0.03146067415730337,0.05393258426966292,2,1,3,0,0,3,0,0,4,2,1,2,2,0,0,3,2,1,1,1,0,1,3,4,0,0,0,0,1,2,3,0,1,0,0,0,5,2,3,0,2,0,0,1,0,0,0,0,0,3,2,3,3,2,3,1,4,7,7,3,6,3,2,5,7,4,4,1,1,0,2,7,0,3,0,1,0,2,6,2,3,2,4,0,1,3,1,3,2,3,0,0,1,0,0,0,1,0,1,5,0,2,2,2,0,4,6,3,2,2,4,0,2,2,4,2,1,1,1,1,1,3,2,2,2,0,0,1,1,0,1,1,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,2,0,1,1,3,0,3,7,2,3,4,0,0,1,5,2,1,0,0,0,2,1,0,5,3,2,0,0,1,0,0,1,1,2,2,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,5,3,1,0,2,0,2,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,6,6,0,1,2,2,2,4,6,0,0,1,0,1,0,0,0,1,1,1,1,2,0,0,3,2,4,3,5,1,0,2,3,1,2,0,1,0,2,7,1,2,0,2,0,0,3,0,0,3,5,0,2,4,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.44144144144144143,-0.21396396396396397,-0.6238738738738738,-0.481981981981982,-2.0427927927927927,0.07657657657657657,0.2072072072072072,-1.4166666666666667,-0.9572072072072072,-1.0698198198198199,-0.8986486486486487,-0.19144144144144143,-0.8558558558558559,-1.367117117117117,-0.704954954954955,-0.04504504504504504,-0.36936936936936937,-2.259009009009009,-1.2792792792792793,-0.9324324324324325
Q96D53,0.10294117647058823,0.07904411764705882,0.016544117647058824,0.05330882352941176,0.02389705882352941,0.06985294117647059,0.058823529411764705,0.09191176470588236,0.02022058823529412,0.029411764705882353,0.11580882352941177,0.03125,0.01838235294117647,0.04779411764705882,0.05330882352941176,0.058823529411764705,0.03860294117647059,0.01838235294117647,0.016544117647058824,0.05514705882352941,10,11,4,0,5,6,2,12,9,3,3,3,6,0,4,1,2,2,0,2,1,3,1,4,4,1,0,1,4,6,3,0,2,1,0,2,2,6,1,3,1,0,2,2,0,0,0,1,0,11,5,3,5,6,2,1,8,4,5,5,1,5,1,5,4,2,8,1,0,0,6,3,1,4,2,0,0,3,3,2,2,2,1,0,3,2,4,4,5,2,0,0,3,0,0,0,0,0,8,5,0,2,1,2,0,3,6,1,1,3,3,0,1,0,0,0,2,3,1,4,3,1,1,1,3,0,0,1,0,2,2,1,0,3,2,0,1,0,1,1,0,2,0,0,0,0,0,3,7,0,3,1,3,2,4,1,4,1,4,1,1,2,3,2,0,1,1,0,3,3,1,0,2,1,0,1,4,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,4,2,3,1,2,1,0,2,4,3,3,1,4,1,3,2,1,0,2,2,0,1,3,1,0,1,0,0,2,2,1,1,0,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,4,2,3,1,1,0,3,5,2,1,0,0,0,3,6,0,3,0,0,0,2,3,2,1,0,0,0,3,2,3,0,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.7771639042357275,-0.6629834254143646,-1.156537753222836,-1.2228360957642725,-1.9907918968692448,-0.7716390423572744,-0.7476979742173112,-1.6187845303867403,-1.0883977900552486,-0.850828729281768,-0.7808471454880295,-0.580110497237569,-0.7955801104972375,-1.2062615101289134,-1.1620626151012892,-0.6132596685082873,-0.8195211786372008,-2.18232044198895,-1.143646408839779,-0.9613259668508287
Q96EB6,0.08835341365461848,0.05488621151271754,0.03480589022757698,0.07764390896921017,0.025435073627844713,0.03748326639892905,0.10174029451137885,0.06961178045515395,0.01606425702811245,0.05756358768406961,0.07630522088353414,0.04551539491298527,0.013386880856760375,0.029451137884872823,0.0856760374832664,0.07630522088353414,0.03346720214190094,0.00535475234270415,0.0214190093708166,0.049531459170013385,25,8,4,5,2,6,0,8,8,7,3,5,3,2,4,4,3,0,0,2,0,1,4,3,1,2,3,1,2,1,2,2,0,2,0,4,4,1,6,6,6,2,0,0,2,0,0,0,0,8,10,1,4,0,9,1,4,14,8,4,7,13,1,5,5,7,5,3,4,0,1,6,0,3,0,6,2,6,4,1,3,3,2,0,6,7,5,1,7,6,0,1,0,1,0,2,0,0,5,7,3,5,2,3,1,8,4,4,4,1,4,0,5,3,5,2,2,3,0,1,2,2,1,1,2,1,1,3,1,2,0,3,1,2,4,4,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,3,0,8,10,1,4,1,2,0,2,3,1,0,2,1,0,2,2,1,1,0,0,0,1,2,1,0,0,1,0,5,3,2,0,2,1,0,0,2,1,1,1,0,1,5,2,4,0,1,1,0,1,6,3,0,2,4,1,2,3,1,0,2,1,0,0,6,2,0,0,0,2,1,4,1,0,5,0,1,2,4,3,1,0,2,0,0,1,0,0,0,1,0,7,7,2,1,2,7,0,4,8,5,3,2,5,0,5,7,2,2,1,3,1,0,5,1,0,2,2,0,2,1,3,3,3,4,0,5,5,6,1,1,13,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.3753351206434316,-0.6554959785522788,-0.7613941018766756,-0.6340482573726541,-1.8981233243967828,-0.43029490616621985,-0.225201072386059,-1.2841823056300268,-1.032171581769437,-1.3941018766756033,-1.3002680965147453,-0.4785522788203753,-1.1072386058981234,-1.7654155495978552,-0.903485254691689,-0.19973190348525469,-0.5710455764075067,-2.454423592493298,-1.46514745308311,-1.1528150134048258
